0 0 -0 -0 
-0 -0 0 0 
0 0 -0 -0 
-0 -0 -0 -0 
0 -0 -0 0 
-0 -0 -0 -0 
0 -0 0 0 
-0 0 -0 -0 
-0 0 -0 -0 
-0 -0 -0 -0 
0 0 0 -0 
0 -0 -0 -0 
-0.0361885 -0.676361 -0.752413 0.498737 
-0 -0 -0 0 
0 -0 -0 -0 
0 -0 -0 -0 
-0 -0 0 0 
0 -0 -0 -0 
-0 -0 0 0 
-0.112192 -0.376176 -0.123001 -0.876865 
-0 -0 0 0 
0 0 -0 -0 
-0 0 -0 0 
-0 -0 0 -0 
-0 0 -0 0 
-0 0 0 0 
0 0 0 0 
0 -0 -0 0 
-0 -0 0 -0 
0 -0 0 -0 
-0.81231 -0.438785 -0.559586 -0.473341 
-0 -0 -0 -0 
-0 -0 0 -0 
0.422384 0.775154 -0.73383 -0.0172972 
0 0 0 -0 
-0 -0 -0 0 
0.837199 0.0672376 0.0720286 -0.754317 
0 -0 0 -0 
-0 0 -0 -0 
0 0 0 -0 
0 -0 0 0 
-0 0 0 -0 
0 -0 -0 -0 
0 -0 -0 -0 
0 0 0 -0 
0 0 -0 -0 
0 -0 0 0 
-0 0 0 0 
-0 -0 -0 -0 
-0 0 -0 0 
0 0 0 -0 
-0 -0 -0 0 
-0 -0 -0 -0 
-0 0 -0 -0 
-0 -0 0 0 
0 -0 0 -0 
-0 -0 0 -0 
0 0 0 0 
-0 -0 -0 0 
0.0799418 0.599174 0.156896 0.967734 
0 -0 0 -0 
0 0 -0 -0 
0.105809 -0.556456 0.110817 0.278344 
0.0819829 -0.224848 -0.7164 -0.11275 
-0 -0 0 0 
-0 0 0 0 
-0 0 -0 -0 
0 0 -0 0 
0.793271 -0.895584 0.919356 0.650503 
0 0 -0 0 
-0 0 0 -0 
0 -0 0 -0 
-0 -0 -0 -0 
-0.182647 -0.778621 0.290897 0.174856 
-0 0 -0 -0 
-0 -0 -0 0 
0 0 0 0 
-0 -0 0 -0 
0.176257 -0.0306422 -0.148942 -0.749692 
-0 -0 -0 0 
0 0 0 0 
-0 -0 -0 -0 
0 0 -0 -0 
0 0 0 -0 
-0 0 0 0 
0 -0 -0 -0 
0 -0 -0 -0 
-0 0 0 0 
-0 0 -0 0 
-0 -0 -0 0 
0 0 -0 -0 
-0 -0 -0 0 
0 0 -0 0 
0 0 0 -0 
0 0 0 -0 
-0 -0 -0 -0 
